===== JOB INFO =====
Wed May 20 10:25:03 AM HKT 2026
dgx-21
Wed May 20 10:25:03 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H800                    On  |   00000000:52:00.0 Off |                    0 |
| N/A   31C    P0             71W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Python 3.10.20
torch 2.7.1+cu126
cuda True
gpu NVIDIA H800
===== DPO START =====
Model Params: 63.91M
Trainable Params: 63.912M
策略模型总参数量：63.912 M
Model Params: 63.91M
Trainable Params: 63.912M
参考模型总参数量：63.912 M
Epoch:[1/1](710/2146), loss: 0.6594, dpo_loss: 0.6594, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](720/2146), loss: 0.6559, dpo_loss: 0.6559, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](730/2146), loss: 0.6811, dpo_loss: 0.6811, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](740/2146), loss: 0.6038, dpo_loss: 0.6038, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](750/2146), loss: 0.6610, dpo_loss: 0.6610, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](760/2146), loss: 0.5624, dpo_loss: 0.5624, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](770/2146), loss: 0.6032, dpo_loss: 0.6032, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](780/2146), loss: 0.5708, dpo_loss: 0.5708, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](790/2146), loss: 0.6240, dpo_loss: 0.6240, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](800/2146), loss: 0.6770, dpo_loss: 0.6770, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](810/2146), loss: 0.5672, dpo_loss: 0.5672, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](820/2146), loss: 0.6462, dpo_loss: 0.6462, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](830/2146), loss: 0.5429, dpo_loss: 0.5429, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](840/2146), loss: 0.6341, dpo_loss: 0.6341, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](850/2146), loss: 0.6446, dpo_loss: 0.6446, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](860/2146), loss: 0.5415, dpo_loss: 0.5415, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](870/2146), loss: 0.5809, dpo_loss: 0.5809, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](880/2146), loss: 0.6730, dpo_loss: 0.6730, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
Epoch:[1/1](890/2146), loss: 0.6920, dpo_loss: 0.6920, aux_loss: 0.0000, learning_rate: 0.00000003, epoch_time: 1.000min
